Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
26-02-26,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0,11.92,,0,0
26-02-26,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0,,,0,0
26-02-26,MTNGH,5.64,4.2,5.58,5.58,5.56,5.56,-0.02,5.56,5.6,"2,960,677","16,472,990.13"
26-02-26,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0,,,0,0
26-02-26,RBGH,2.39,1.3,2.18,2.18,2.39,2.39,0.21,2.39,,"1,000","2,390.00"
26-02-26,SCB,35.5,29.22,35.5,35.5,35.5,35.5,0,36,,0,0
26-02-26,SIC,3.55,1.2,3.23,3.23,3.55,3.55,0.32,3.55,,"53,227","188,955.85"
26-02-26,SOGEGH,9.46,4.49,8.6,8.6,9.46,9.46,0.86,9.46,,"216,533","2,048,402.18"
26-02-26,TBL,1.2,1.2,1.2,1.2,1.2,1.2,0,1.32,,0,0
26-02-26,TOTAL,40.3,40.15,40.15,40.15,40.15,40.15,0,,40.15,"2,408","96,666.20"
26-02-26,GOIL,4.35,2.96,4.35,4.35,4.35,4.35,0,4.78,,0,0
26-02-26,UNIL,26.96,19.79,25.98,25.98,27.85,26.96,0.98,27.85,,"15,687","422,663.52"
26-02-26,AADS,0.42,0.42,0.42,0.42,0.42,0.42,0,0.46,,0,0
26-02-26,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0,0.9,,0,0
26-02-26,GLD,533.93,466.72,533.93,533.93,533.93,533.93,0,533.93,,"1,776","948,259.68"
26-02-26,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0,,,0,0
26-02-26,MMH,0.1,0.1,0.1,0.1,0.1,0.1,0,,,0,0
26-02-26,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0,,0.1,0,0
26-02-26,IIL,0.05,0.05,0.05,0.05,0.05,0.05,0,,,0,0
26-02-26,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0,,0.09,0,0
26-02-26,CPC,0.06,0.05,0.06,0.06,0.07,0.06,0,0.07,,"1,000",70
26-02-26,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0,5.06,,1,5.06
26-02-26,AGA,37,37,37,37,37,37,0,40.7,,0,0
26-02-26,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0,,,0,0
26-02-26,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0,8.89,,3,26.67
26-02-26,ALLGH,6.25,6.12,6.12,6.12,6.25,6.25,0.13,6.25,,"1,824","11,325.38"
26-02-26,BOPP,72.6,55.82,66.01,66.01,72.6,72.6,6.59,72.61,,503,"36,517.80"
26-02-26,CAL,0.94,0.61,0.91,0.91,0.9,0.9,-0.01,,0.9,"424,435","381,891.50"
26-02-26,CLYD,0.68,0.46,0.68,0.68,0.68,0.68,0,0.74,,0,0
26-02-26,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0,0.15,,0,0
26-02-26,ACCESS,35.05,16.2,31.9,31.9,35.05,35.05,3.15,35.05,,"2,001","70,135.05"
26-02-26,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,0,0.41,,0,0
26-02-26,EGH,52.1,25,51.04,51.04,52.11,52.1,1.06,52.11,,"22,464","1,170,385.05"
26-02-26,EGL,6.8,3.48,6.3,6.3,6.93,6.8,0.5,6.93,,"77,248","525,411.70"
26-02-26,ETI,1.11,0.76,1.01,1.01,1.11,1.11,0.1,1.11,,"69,460","76,941.40"
26-02-26,FML,13.96,8,13.1,13.1,13.98,13.96,0.86,13.98,,"25,135","350,472.10"
26-02-26,FAB,7.84,7.71,7.84,7.84,7.84,7.84,0,,,0,0
26-02-26,GCB,35.43,20.11,32.31,32.31,35.51,35.43,3.12,35.54,,"22,861","808,273.27"
26-02-26,GGBL,13.29,6.6,13.29,13.29,13.3,13.29,0,13.29,13.3,"33,142","440,493.18"
